palabra,sentimiento
aborrecible,asco
aborrecible,miedo
aborrecible,negativo
abortar,negativo
abortivo,negativo
abortivo,tristeza
aborto,asco
aborto,miedo
aborto,negativo
aborto,tristeza
aborto espontáneo,miedo
aborto espontáneo,negativo
aborto espontáneo,tristeza
abrasador,enfado
abrasador,negativo
abrasión,negativo
abrazo,alegría
abrazo,positivo
abrazo,confianza
abrazo,anticipación
abrazo,alegría
abrazo,positivo
abrazo,sorpresa
abrazo,confianza
abrazo,alegría
abrazo,positivo
abrazo,confianza
abrigo,positivo
abrigo,confianza
abrogar,negativo
abrumada,negativo
abrumada,tristeza
abrumado,negativo
abrumado,tristeza
abrumador,enfado
abrumador,miedo
abrumador,negativo
abrumador,positivo
abrumar,negativo
abrupto,sorpresa
absceso,negativo
absceso,tristeza
absentismo,negativo
absolución,alegría
absolución,positivo
absolución,confianza
absoluto,positivo
absorbida,positivo
absorbido,positivo
absurda,negativo
absurda,negativo
absurda,asco
absurda,negativo
absurda,negativo
absurda,tristeza
absurdo,negativo
absurdo,negativo
absurdo,asco
absurdo,negativo
absurdo,negativo
absurdo,tristeza
abucheo,negativo
abuela,positivo
abuelo,confianza
abundancia,anticipación
abundancia,asco
abundancia,alegría
abundancia,negativo
abundancia,positivo
abundancia,confianza
abundancia de nubes,miedo
abundancia de nubes,negativo
abundante,alegría
abundante,positivo
abundante,anticipación
abundante,alegría
abundante,positivo
abundante,positivo
abundante,negativo
aburrida,negativo
aburrida,negativo
aburrida,tristeza
aburrido,negativo
aburrido,negativo
aburrido,tristeza
aburrimiento,negativo
aburrimiento,tristeza
aburrir,negativo
abusa,enfado
abusa,asco
abusa,miedo
abusa,negativo
abusa,tristeza
abuso,enfado
abuso,asco
abuso,miedo
abuso,negativo
abuso,tristeza
abyecta,asco
abyecta,negativo
abyecto,asco
abyecto,negativo
academia,positivo
académico,positivo
académico,confianza
acantilada,miedo
acantilado,miedo
ácaro,asco
ácaro,negativo
accesible,positivo
accesorio,positivo
accidental,miedo
accidental,negativo
accidental,sorpresa
accidentalmente,sorpresa
accidente,miedo
accidente,negativo
accidente,tristeza
accidente,sorpresa
acción,positivo
acción de gracias,alegría
acción de gracias,positivo
accueil,positivo
acechar,negativo
acecho,negativo
acelerador,enfado
acelerador,negativo
acelerar,anticipación
acelerar,anticipación
aceptable,positivo
aceptación,positivo
achispada,negativo
achispado,negativo
ácida,negativo
acidez,negativo
ácido,negativo
aclarar,alegría
aclarar,positivo
aclarar,sorpresa
aclarar,confianza
aclarar,positivo
acogedor,positivo
acompañamiento,anticipación
acompañamiento,alegría
acompañamiento,positivo
acompañamiento,confianza
aconsejable,positivo
aconsejable,confianza
aconsejada,confianza
aconsejado,confianza
acontecer,negativo
acosar,enfado
acosar,asco
acosar,negativo
acosar,enfado
acosar,negativo
acosar,tristeza
acoso,enfado
acoso,asco
acoso,miedo
acoso,negativo
acoso,tristeza
acostada,enfado
acostada,asco
acostada,negativo
acostado,enfado
acostado,asco
acostado,negativo
acre,asco
acre,negativo
acreditada,positivo
acreditada,positivo
acreditada,confianza
acreditado,positivo
acreditado,positivo
acreditado,confianza
acreedor hipotecario,confianza
acribillada,negativo
acribillado,negativo
acróbata,miedo
acróbata,alegría
acróbata,positivo
acróbata,confianza
actitud,negativo
acuerda,positivo
acuerda,confianza
acuerdo,positivo
acuerdo,confianza
acuoso,negativo
acusación,enfado
acusación,asco
acusación,negativo
acusación,enfado
acusación,miedo
acusación,negativo
acusación,tristeza
acusación,negativo
acusación,miedo
acusación,negativo
acusada,enfado
acusada,miedo
acusada,negativo
acusada,enfado
acusada,miedo
acusada,tristeza
acusado,enfado
acusado,miedo
acusado,negativo
acusado,enfado
acusado,miedo
acusado,tristeza
acusador,enfado
acusador,miedo
acusador,negativo
acusando,enfado
acusando,miedo
acusando,negativo
acusativo,negativo
adaptable,positivo
adaptar,positivo
adecuación,positivo
adecuada,anticipación
adecuada,alegría
adecuada,positivo
adecuada,confianza
adecuada,positivo
adecuado,anticipación
adecuado,alegría
adecuado,positivo
adecuado,confianza
adecuado,positivo
adelantar,negativo
adelante,positivo
adelante,positivo
adelanto,positivo
adepto,positivo
adherida,confianza
adherido,confianza
adherirse,miedo
adiccion,negativo
adiós,anticipación
adiposo,negativo
adivinar,sorpresa
adjunto,positivo
adjunto archivo,positivo
administración,positivo
administración,confianza
administrativo,confianza
admirable,alegría
admirable,positivo
admirable,confianza
admiración,alegría
admiración,positivo
admiración,confianza
admirador,positivo
admirar,positivo
admirar,confianza
admisible,positivo
admisible,confianza
admisible,positivo
adoctrinamiento,enfado
adoctrinamiento,miedo
adoctrinamiento,negativo
adolescentes,negativo
adolescentes,positivo
adorable,alegría
adorable,positivo
adoración,alegría
adoración,positivo
adoración,confianza
adorar,anticipación
adorar,alegría
adorar,positivo
adorar,confianza
adornada,positivo
adornado,positivo
adornar,negativo
adornos,negativo
adquirir,positivo
adquisidor,anticipación
adquisidor,positivo
adular,negativo
adulterio,asco
adulterio,negativo
adulterio,tristeza
adversario,enfado
adversario,negativo
adversario,enfado
adversario,anticipación
adversario,asco
adversario,miedo
adversario,negativo
adversidad,enfado
adversidad,miedo
adversidad,negativo
adversidad,tristeza
adverso,enfado
adverso,asco
adverso,miedo
adverso,negativo
adverso,tristeza
adverso,enfado
adverso,asco
adverso,negativo
advertencia,miedo
advertida,miedo
advertido,miedo
advertir,anticipación
advertir,miedo
advertir,negativo
advertir,sorpresa
advertir,confianza
adviento,anticipación
adviento,alegría
adviento,positivo
adviento,confianza
aeropuerto,anticipación
afable,positivo
afán,anticipación
afán,alegría
afán,positivo
afán,confianza
afecto,alegría
afecto,positivo
afecto,confianza
afeminada,negativo
afeminado,negativo
áfida,asco
áfida,negativo
áfido,asco
áfido,negativo
afilar,enfado
afilar,anticipación
afirmación,positivo
afirmando,positivo
afirmando,confianza
afirmar,positivo
afirmar,confianza
afirmativamente,positivo
afirmativamente,confianza
afirmativo,positivo
aflicción,asco
aflicción,miedo
aflicción,negativo
aflicción,tristeza
aflicción,asco
aflicción,miedo
aflicción,negativo
aflicción,tristeza
afligida,negativo
afligida,miedo
afligida,negativo
afligida,tristeza
afligido,negativo
afligido,miedo
afligido,negativo
afligido,tristeza
afligir,miedo
afligir,negativo
afligir,tristeza
afligir,negativo
afligir,tristeza
afligirse,miedo
afligirse,negativo
afligirse,tristeza
afluencia,alegría
afluencia,positivo
afluente,positivo
afluente,anticipación
afluente,positivo
aforo,confianza
afortunada,positivo
afortunado,positivo
afrenta,enfado
afrenta,asco
afrenta,miedo
afrenta,negativo
afrenta,tristeza
afrenta,sorpresa
aga,miedo
aga,positivo
aga,confianza
agacharse,miedo
agarrar,enfado
agarrar,negativo
agazapada,miedo
agazapada,negativo
agazapado,miedo
agazapado,negativo
agente de mudanzas,positivo
ágil,positivo
ágil,positivo
agilidad,positivo
agitación,enfado
agitación,negativo
agitada,enfado
agitada,negativo
agitado,enfado
agitado,negativo
agonía,enfado
agonía,miedo
agonía,negativo
agonía,tristeza
agonizante,miedo
agonizante,negativo
agosto,positivo
agotada,negativo
agotada,tristeza
agotado,negativo
agotado,tristeza
agotador,enfado
agotador,miedo
agotador,negativo
agotador,tristeza
agotamiento,anticipación
agotamiento,negativo
agotamiento,tristeza
agraciada,positivo
agraciado,positivo
agradable,positivo
agradable,confianza
agradable,positivo
agradable,anticipación
agradable,alegría
agradable,positivo
agradable,sorpresa
agradable,confianza
agradable,alegría
agradable,positivo
agradecida,negativo
agradecida,positivo
agradecida,alegría
agradecida,positivo
agradecido,negativo
agradecido,positivo
agradecido,alegría
agradecido,positivo
agravación,enfado
agravación,asco
agravación,negativo
agravada,enfado
agravada,negativo
agravado,enfado
agravado,negativo
agravante,enfado
agravante,negativo
agravante,tristeza
agravio,negativo
agresión,enfado
agresión,miedo
agresión,negativo
agresivo,enfado
agresivo,miedo
agresivo,negativo
agresor,enfado
agresor,miedo
agresor,negativo
agresor,enfado
agresor,miedo
agresor,negativo
agresor,tristeza
agresor,enfado
agresor,asco
agresor,miedo
agresor,negativo
agresor,tristeza
agresor,sorpresa
agricultura,positivo
agricultura,positivo
agricultura,confianza
agrietada,enfado
agrietada,miedo
agrietada,negativo
agrietado,enfado
agrietado,miedo
agrietado,negativo
agrietamiento,negativo
agrio,asco
agrio,negativo
agua sucia,asco
agua sucia,negativo
aguanieve,negativo
aguante,positivo
aguante,confianza
aguas residuales,asco
aguas residuales,negativo
agudeza,positivo
agudísimo,miedo
agudísimo,negativo
águila,confianza
aguja,positivo
agujereada,negativo
agujereado,negativo
ahogar,miedo
ahogar,negativo
ahogar,tristeza
ahogar,enfado
ahogar,negativo
ahogo,enfado
ahogo,negativo
ahogo,tristeza
ahorro,asco
ahorro,positivo
ahorro,confianza
ahorros,positivo
airada,enfado
airada,negativo
airado,enfado
airado,negativo
aires,asco
aires,negativo
aislada,miedo
aislada,negativo
aislada,tristeza
aislada,negativo
aislada,tristeza
aislada,negativo
aislado,miedo
aislado,negativo
aislado,tristeza
aislado,negativo
aislado,tristeza
aislado,negativo
aislamiento,confianza
aislamiento,negativo
aislamiento,tristeza
aislar,tristeza
al azar,sorpresa
alabada,alegría
alabada,positivo
alabado,alegría
alabado,positivo
alabanza,alegría
alabanza,positivo
alabanza,confianza
alabastro,positivo
alarde,negativo
alarde,positivo
alarma,miedo
alarma,negativo
alarma,sorpresa
alarmante,miedo
alarmante,negativo
alarmante,sorpresa
alarmante,sorpresa
alba,confianza
albacea,confianza
alborada,anticipación
alboroto,enfado
alboroto,miedo
alboroto,negativo
alboroto,enfado
alboroto,miedo
alboroto,negativo
alcalde,positivo
alcantarilla,asco
alcantarillada,asco
alcantarillada,negativo
alcantarillado,asco
alcantarillado,negativo
alcanzable,anticipación
alcanzable,positivo
alcoholismo,enfado
alcoholismo,asco
alcoholismo,miedo
alcoholismo,negativo
alcoholismo,tristeza
aldeano,positivo
aldeano,confianza
alegación,enfado
alegación,negativo
alegar,negativo
alegrarse,anticipación
alegrarse,alegría
alegrarse,positivo
alegrarse,sorpresa
alegrarse,confianza
alegre,alegría
alegre,positivo
alegre,sorpresa
alegre,anticipación
alegre,alegría
alegre,positivo
alegre,anticipación
alegre,alegría
alegre,positivo
alegre,alegría
alegre,positivo
alegre,confianza
alegre,alegría
alegre,positivo
alegre,alegría
alegre,positivo
alegría,anticipación
alegría,alegría
alegría,positivo
alegría,confianza
alegría,alegría
alegría,positivo
alegría,alegría
alegría,positivo
alegría,alegría
alegría,positivo
alegría,alegría
alegría,positivo
alegría,sorpresa
alegría,alegría
alegría,positivo
alegría,anticipación
alegría,alegría
alegría,positivo
alegría,sorpresa
alegro,positivo
alejada,enfado
alejada,miedo
alejada,negativo
alejada,tristeza
alejado,enfado
alejado,miedo
alejado,negativo
alejado,tristeza
alerón,negativo
alerón,tristeza
alertas,anticipación
alertas,miedo
alertas,sorpresa
algarabía,enfado
algarabía,negativo
alguacil,miedo
alguacil,negativo
alguacil,confianza
alguacil,confianza
alguacil,confianza
aliada,positivo
aliada,confianza
aliada,positivo
aliada,confianza
aliado,positivo
aliado,confianza
aliado,positivo
aliado,confianza
alianza,confianza
alienación,enfado
alienación,asco
alienación,miedo
alienación,negativo
alienación,tristeza
alienada,negativo
alienada,tristeza
alienado,negativo
alienado,tristeza
alimañas,enfado
alimañas,asco
alimañas,miedo
alimañas,negativo
alimentación,positivo
alimento,positivo
aliviar,positivo
aliviar,positivo
alivio,positivo
alivio,positivo
alma,positivo
alma gemela,miedo
alma gemela,negativo
almacenar,anticipación
almacenar,positivo
almirante,positivo
almirante,confianza
almohada,positivo
almohadilla,positivo
aloha,anticipación
aloha,alegría
aloha,positivo
alojamiento,positivo
alojamiento,confianza
alquiler,anticipación
alquiler,alegría
alquiler,positivo
alquiler,confianza
alquitranada,negativo
alquitranado,negativo
alta burguesía,positivo
alta burguesía,confianza
altercada,enfado
altercada,negativo
altercado,enfado
altercado,negativo
altruista,positivo
alucinación,miedo
alucinación,negativo
amabilidad,alegría
amabilidad,positivo
amabilidad,confianza
amabilidad,positivo
amable,positivo
amable,negativo
amable,alegría
amable,positivo
amable,confianza
amanecer,anticipación
amanecer,alegría
amanecer,positivo
amanecer,sorpresa
amanecer,confianza
amanerada,positivo
amanerado,positivo
amante,anticipación
amante,alegría
amante,positivo
amante,confianza
amante,enfado
amante,asco
amante,negativo
amargamente,enfado
amargamente,asco
amargamente,negativo
amargamente,tristeza
amargura,enfado
amargura,asco
amargura,negativo
amargura,tristeza
amarillos,negativo
amarras,confianza
ambición,anticipación
ambición,alegría
ambición,positivo
ambición,confianza
ambicioso,anticipación
ambicioso,alegría
ambicioso,positivo
ambicioso,confianza
ambiguo,negativo
ambulancia,miedo
ambulancia,confianza
amén,alegría
amén,positivo
amén,confianza
amenaza,enfado
amenaza,miedo
amenaza,negativo
amenaza,enfado
amenaza,miedo
amenaza,negativo
amenazador,enfado
amenazador,miedo
amenazador,negativo
amenazante,enfado
amenazante,miedo
amenazante,negativo
amenazante,enfado
amenazante,asco
amenazante,miedo
amenazante,negativo
amenazar,enfado
amenazar,anticipación
amenazar,miedo
amenazar,negativo
amenidad,positivo
amigo,alegría
amigo,positivo
amigo,confianza
amistad,alegría
amistad,positivo
amistad,confianza
amistoso,alegría
amistoso,positivo
amnesia,negativo
amnistía,alegría
amnistía,positivo
amonestación,miedo
amonestación,negativo
amoníaco,asco
amor,alegría
amor,positivo
amoroso,alegría
amoroso,positivo
amoroso,confianza
amortiguar,positivo
amortización,confianza
ampliar,positivo
ampolla,asco
ampolla,negativo
anaconda,asco
anaconda,miedo
anaconda,negativo
anal,negativo
analfabeto,asco
analfabeto,negativo
analista,anticipación
analista,positivo
analista,confianza
anarquía,enfado
anarquía,miedo
anarquía,negativo
anarquismo,enfado
anarquismo,miedo
anarquismo,negativo
anarquista,enfado
anarquista,miedo
anarquista,negativo
anatema,enfado
anatema,asco
anatema,miedo
anatema,negativo
anatema,tristeza
ancestral,confianza
ancianos,positivo
ancianos,confianza
ancla,positivo
anclaje,positivo
anclaje,tristeza
andamio,miedo
andamio,negativo
andante,negativo
anexo,asco
anexo,negativo
anfetaminas,asco
anfetaminas,negativo
ángel,anticipación
ángel,alegría
ángel,positivo
ángel,sorpresa
ángel,confianza
angelical,alegría
angelical,positivo
angelical,confianza
angina,miedo
angina,negativo
anguila,miedo
angustia,enfado
angustia,miedo
angustia,negativo
angustia,tristeza
angustia,enfado
angustia,asco
angustia,miedo
angustia,negativo
angustia,tristeza
angustia,sorpresa
angustia,negativo
angustia,tristeza
angustia,negativo
angustia,sorpresa
angustioso,enfado
angustioso,miedo
angustioso,negativo
anhelo,anticipación
anhelo,anticipación
anhelo,alegría
anhelo,negativo
anhelo,positivo
anhelo,confianza
animada,alegría
animada,positivo
animado,alegría
animado,positivo
animar,positivo
animar,anticipación
animar,alegría
animar,positivo
animar,sorpresa
animar,confianza
animar,alegría
animar,positivo
animar,confianza
animar,alegría
animar,positivo
animar,sorpresa
animar,confianza
ánimo,enfado
ánimo,negativo
ánimo,positivo
ánimo,anticipación
ánimo,alegría
ánimo,positivo
ánimo,confianza
animosidad,enfado
animosidad,asco
animosidad,miedo
animosidad,negativo
animosidad,tristeza
aniquilación,enfado
aniquilación,miedo
aniquilación,negativo
aniquilación,tristeza
aniquilada,enfado
aniquilada,miedo
aniquilada,negativo
aniquilada,tristeza
aniquilado,enfado
aniquilado,miedo
aniquilado,negativo
aniquilado,tristeza
aniquilar,enfado
aniquilar,miedo
aniquilar,negativo
aniversario,alegría
aniversario,positivo
aniversario,sorpresa
anomalía,miedo
anomalía,negativo
anomalía,sorpresa
anónimo,negativo
anónimo,negativo
anormal,asco
anormal,negativo
ansia,anticipación
ansiedad,enfado
ansiedad,anticipación
ansiedad,miedo
ansiedad,negativo
ansiedad,tristeza
ansioso,anticipación
ansioso,miedo
ansioso,negativo
entusiasmado,anticipación
entusiasmado,alegría
entusiasmado,positivo
entusiasmado,sorpresa
ansioso,confianza
ansiosa,anticipación
ansiosa,miedo
ansiosa,negativo
entusiasmada,anticipación
entusiasmada,alegría
entusiasmada,positivo
entusiasmada,sorpresa
entusiasmada,confianza
antagonismo,enfado
antagonismo,negativo
antagonista,enfado
antagonista,negativo
antagonista,enfado
antagonista,asco
antagonista,negativo
antebrazo,enfado
antebrazo,anticipación
antecristo,enfado
antecristo,asco
antecristo,miedo
antecristo,negativo
antepasados,alegría
antepasados,positivo
antepasados,confianza
anteriormente mencionada,positivo
anteriormente mencionado,positivo
antibióticos,positivo
anticipación,anticipación
anticipada,anticipación
anticipado,anticipación
anticuada,negativo
anticuado,negativo
antídoto,anticipación
antídoto,positivo
antídoto,confianza
antieconómico,enfado
antieconómico,asco
antieconómico,negativo
antieconómico,tristeza
antigüedad,positivo
antigüedad,confianza
antiguo,negativo
antiguo,positivo
antimicótico,positivo
antimicótico,confianza
antinatural,asco
antinatural,miedo
antinatural,negativo
antipatía,enfado
antipatía,asco
antipatía,negativo
antiséptico,positivo
antiséptico,confianza
antisocial,enfado
antisocial,asco
antisocial,miedo
antisocial,negativo
antisocial,tristeza
antítesis,enfado
antítesis,negativo
ántrax,asco
ántrax,miedo
ántrax,negativo
ántrax,tristeza
anudada,negativo
anudado,negativo
anulación,negativo
anulación,tristeza
anular,negativo
anular,negativo
anular,sorpresa
anular,negativo
anular,miedo
anular,negativo
anular una hipoteca,miedo
anular una hipoteca,negativo
anular una hipoteca,tristeza
anuncio,anticipación
apache,miedo
apache,negativo
apagador,negativo
aparentemente,negativo
aparición,miedo
aparición,sorpresa
apasionada,anticipación
apasionada,alegría
apasionada,positivo
apasionada,confianza
apasionado,anticipación
apasionado,alegría
apasionado,positivo
apasionado,confianza
apatía,negativo
apatía,tristeza
apático,negativo
apático,tristeza
apático,negativo
apático,tristeza
apelación,anticipación
apendicitis,miedo
apendicitis,negativo
apendicitis,tristeza
aplastada,enfado
aplastada,asco
aplastada,miedo
aplastada,negativo
aplastada,tristeza
aplastante,enfado
aplastante,asco
aplastante,miedo
aplastante,negativo
aplastar,enfado
aplastar,miedo
aplastar,negativo
aplastar,enfado
aplastar,asco
aplastar,negativo
aplaudir,anticipación
aplaudir,alegría
aplaudir,positivo
aplaudir,confianza
aplausos,alegría
aplausos,positivo
aplausos,sorpresa
aplausos,confianza
aplausos,alegría
aplausos,positivo
aplazamiento,negativo
aplazamiento,negativo
aplazamiento,sorpresa
aplazar,negativo
aplicación,negativo
aplomo,positivo
apoderada,confianza
apoderado,confianza
apogeo,anticipación
apogeo,alegría
apogeo,positivo
apogeo,confianza
apologético,positivo
apologético,confianza
apóstol,positivo
apóstol,confianza
apostólico,confianza
apreciación,alegría
apreciación,positivo
apreciación,confianza
apreciar,anticipación
apreciar,alegría
apreciar,positivo
apreciar,sorpresa
apreciar,confianza
aprehender,miedo
aprender,positivo
aprendiz,confianza
aprendizaje,positivo
aprensivo,anticipación
aprensivo,miedo
aprensivo,negativo
apresador,miedo
apresador,negativo
apresurada,negativo
apresurada,anticipación
apresurada,negativo
apresurado,negativo
apresurado,anticipación
apresurado,negativo
apretar,enfado
aprobación,positivo
aprobación,confianza
aprobación,positivo
aprobar,alegría
aprobar,positivo
aprobar,confianza
aprobatorio,positivo
apropiación,negativo
apropiada,positivo
apropiado,positivo
aprovechar,miedo
aprovechar,negativo
aptitud,positivo
apto,positivo
apuesto,positivo
apuntalar,positivo
arancel,enfado
arancel,asco
arancel,negativo
araña,asco
araña,miedo
arbitraje,anticipación
árbitro,confianza
árbitro,confianza
árbitro,confianza
árbitro,positivo
árbitro,confianza
árbol,enfado
árbol,anticipación
árbol,asco
árbol,alegría
árbol,positivo
árbol,sorpresa
árbol,confianza
árbol genealógico,positivo
árbol genealógico,confianza
arcaico,negativo
archivada,negativo
archivado,negativo
ardid,negativo
ardiente,anticipación
ardiente,alegría
ardiente,positivo
ardor,positivo
arduo,negativo
arena,positivo
arena,confianza
argumentación,enfado
argumento,enfado
argumento,negativo
argumentos,enfado
árida,negativo
árida,tristeza
árido,negativo
árido,tristeza
aristocracia,positivo
aristocrático,positivo
armada,enfado
armada,miedo
armada,negativo
armada,positivo
armado,enfado
armado,miedo
armado,negativo
armado,positivo
armadura,miedo
armadura,positivo
armadura,confianza
armamento,enfado
armamento,miedo
armamento,miedo
armamento,negativo
armas de fuego,enfado
armas de fuego,miedo
armas de fuego,negativo
armonía,alegría
armonía,positivo
armonía,confianza
armoniosamente,alegría
armoniosamente,positivo
armoniosamente,confianza
aroma,positivo
arqueología,anticipación
arqueología,positivo
arquitectura,confianza
arrastrarse,negativo
arrebatada,alegría
arrebatada,positivo
arrebatada,sorpresa
arrebatada,confianza
arrebatado,alegría
arrebatado,positivo
arrebatado,sorpresa
arrebatado,confianza
arrepentirse,miedo
arrepentirse,positivo
arrestar,negativo
arriesgada,anticipación
arriesgada,miedo
arriesgada,negativo
arriesgado,anticipación
arriesgado,miedo
arriesgado,negativo
arrogancia,negativo
arrogante,enfado
arrogante,asco
arrogante,negativo
arrogante,enfado
arrogante,negativo
arrojar,asco
arrugada,tristeza
arrugado,tristeza
arruinada,miedo
arruinada,negativo
arruinada,tristeza
arruinada,asco
arruinada,negativo
arruinada,tristeza
arruinada,enfado
arruinada,asco
arruinada,miedo
arruinada,negativo
arruinada,tristeza
arruinado,miedo
arruinado,negativo
arruinado,tristeza
arruinado,asco
arruinado,negativo
arruinado,tristeza
arruinado,enfado
arruinado,asco
arruinado,miedo
arruinado,negativo
arruinado,tristeza
arsenal,confianza
arsénico,asco
arsénico,miedo
arsénico,negativo
arsénico,tristeza
arte,anticipación
arte,alegría
arte,positivo
arte,tristeza
arte,sorpresa
arte,positivo
artesano,positivo
artesano,positivo
articulación,positivo
articular,positivo
artillería,miedo
artillería,negativo
artillería,miedo
artillería,negativo
artista,positivo
artístico,positivo
as,positivo
asaltar,enfado
asaltar,miedo
asaltar,negativo
asaltar,sorpresa
asalto,enfado
asalto,miedo
asalto,negativo
asalto,enfado
asar,enfado
asar,negativo
ascendencia,positivo
ascenso,positivo
asco,enfado
asco,asco
asco,miedo
asco,negativo
asco,tristeza
asegurar,confianza
asegurar,positivo
asegurar,confianza
asentir,positivo
asequible,alegría
asequible,positivo
asesinar,enfado
asesinar,miedo
asesinar,negativo
asesinato,enfado
asesinato,miedo
asesinato,negativo
asesinato,tristeza
asesinato,enfado
asesinato,miedo
asesinato,negativo
asesinato,tristeza
asesinato,enfado
asesinato,asco
asesinato,miedo
asesinato,negativo
asesinato,tristeza
asesinato,sorpresa
asesino,enfado
asesino,miedo
asesino,negativo
asesino,tristeza
asesino,enfado
asesino,miedo
asesino,negativo
asesino,enfado
asesino,asco
asesino,miedo
asesino,negativo
asesino,tristeza
asesino,enfado
asesino,asco
asesino,miedo
asesino,negativo
asesino,tristeza
asesino,sorpresa
asesino,enfado
asesino,asco
asesino,miedo
asesino,negativo
asesino,tristeza
asesino,sorpresa
asesor,confianza
asesorar,positivo
asesorar,confianza
asfixia,enfado
asfixia,miedo
asfixia,negativo
asilo,miedo
asilo,negativo
asimetría,asco
asistencia,positivo
asistencia,anticipación
asistente,positivo
asistente,confianza
asociación,confianza
asociación,positivo
asociación,confianza
asociada,positivo
asociado,positivo
asociar,positivo
asociar,confianza
asombro,sorpresa
asombro,alegría
asombro,positivo
asombro,sorpresa
asombrosamente,positivo
asombrosamente,sorpresa
asombrosamente,anticipación
asombrosamente,sorpresa
asombroso,negativo
aspereza,negativo
áspid,miedo
aspiración,anticipación
aspiración,alegría
aspiración,positivo
aspiración,sorpresa
aspiración,confianza
aspirar,anticipación
aspirar,alegría
aspirar,positivo
asqueroso,enfado
asqueroso,asco
asqueroso,miedo
asqueroso,negativo
asqueroso,enfado
asqueroso,asco
asqueroso,miedo
asqueroso,negativo
asqueroso,tristeza
astilla,negativo
astringente,negativo
astrólogo,anticipación
astrólogo,positivo
astronauta,positivo
astrónomo,anticipación
astrónomo,positivo
astucia,positivo
astucia,negativo
astucia,positivo
astucia,enfado
astucia,asco
astucia,miedo
astucia,negativo
astucia,tristeza
astucia,sorpresa
astuto,positivo
astuto,enfado
astuto,asco
astuto,miedo
astuto,negativo
asustada,miedo
asustada,negativo
asustada,sorpresa
asustado,miedo
asustado,negativo
asustado,sorpresa
asustar,miedo
asustar,negativo
asustar,tristeza
asustar,sorpresa
asustar,miedo
asustar,negativo
asustar,sorpresa
ataque,enfado
ataque,miedo
ataque,negativo
atar,negativo
ataúd,miedo
ataúd,negativo
ataúd,tristeza
ataúd,miedo
ataúd,negativo
ataúd,tristeza
ateísmo,negativo
atención,positivo
atención,positivo
atención plena,positivo
atento,positivo
atento,confianza
atenuación,negativo
atenuación,tristeza
atenuada,negativo
atenuado,negativo
aterciopelada,positivo
aterciopelado,positivo
aterosclerosis,miedo
aterosclerosis,negativo
aterosclerosis,tristeza
aterrizada,positivo
aterrizado,positivo
aterronada,asco
aterronada,negativo
aterronado,asco
aterronado,negativo
aterrorizar,enfado
aterrorizar,miedo
aterrorizar,negativo
aterrorizar,tristeza
atestación,confianza
atestiguar,positivo
atestiguar,confianza
atleta,positivo
atlético,positivo
átomo,positivo
atornillada,enfado
atornillada,negativo
atornillado,enfado
atornillado,negativo
atracada,negativo
atracado,negativo
atracar,positivo
atracción,positivo
atractivo,positivo
atractivo,alegría
atractivo,positivo
atractivo,confianza
atractivo,anticipación
atractivo,alegría
atractivo,positivo
atractivo,sorpresa
atractivo,confianza
atrasada,anticipación
atrasada,negativo
atrasada,tristeza
atrasada,sorpresa
atrasado,anticipación
atrasado,negativo
atrasado,tristeza
atrasado,sorpresa
atrasos,negativo
atrevida,positivo
atrevido,positivo
atrevimiento,anticipación
